name,datasheet,diameter,hole_size,pad_size,pad_spacing
MagneticBuzzer_StarMicronics_QMB-105,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,12,1,2,6.5
MagneticBuzzer_StarMicronics_QMB-108,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,12,1,2,6.5
MagneticBuzzer_StarMicronics_QMB-111,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,12,1,2,6.5
MagneticBuzzer_StarMicronics_QMX,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,12,1,2,6.6
MagneticBuzzer_StarMicronics_HGP,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,16,1.1,2,7.6
MagneticBuzzer_StarMicronics_RMX,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,16,1.1,2,7.6
MagneticBuzzer_StarMicronics_QMB,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,16,1.1,2,7.6
MagneticBuzzer_StarMicronics_TMX-F,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,25,1.2,2,10.2
MagneticBuzzer_StarMicronics_TMX-H,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,25,1.2,2,10.2
MagneticBuzzer_StarMicronics_TMB,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,12,1,2,7.6
MagneticBuzzer_StarMicronics_HMB,http://datasheet.octopart.com/HMB06-Star-Micronics-datasheet-514145.pdf,16,1.1,2,7.6
